graph_id,n,total_actions,total_transitions,algorithm,runtime_ms,iterations,converged,success,avg_value
medium_n20_s2_a3_case17_seed59,20,57,102,pi,0.016962,3,1,1,16.592333
medium_n20_s2_a3_case17_seed59,20,57,102,dijkstra,0.005871,20,1,1,16.592333
medium_n20_s2_a3_case18_seed60,20,57,102,vi,0.005570,4,1,1,12.826175
medium_n20_s2_a3_case18_seed60,20,57,102,pi,0.016471,3,1,1,12.826175
medium_n20_s2_a3_case18_seed60,20,57,102,dijkstra,0.006352,20,1,1,12.826175
medium_n20_s2_a3_case19_seed61,20,57,102,vi,0.006082,5,1,1,18.957567
medium_n20_s2_a3_case19_seed61,20,57,102,pi,0.016782,3,1,1,18.957567
medium_n20_s2_a3_case19_seed61,20,57,102,dijkstra,0.006422,20,1,1,18.957567
medium_n20_s2_a3_case1_seed43,20,57,102,vi,0.005921,5,1,1,16.003217
medium_n20_s2_a3_case1_seed43,20,57,102,pi,0.021480,4,1,1,16.003217
medium_n20_s2_a3_case1_seed43,20,57,102,dijkstra,0.006112,20,1,1,16.003217
medium_n20_s2_a3_case2_seed44,20,57,102,vi,0.005781,5,1,1,17.104383
medium_n20_s2_a3_case2_seed44,20,57,102,pi,0.016531,3,1,1,17.104383
medium_n20_s2_a3_case2_seed44,20,57,102,dijkstra,0.006162,20,1,1,17.104383
medium_n20_s2_a3_case3_seed45,20,57,102,vi,0.006372,5,1,1,15.585519
medium_n20_s2_a3_case3_seed45,20,57,102,pi,0.017022,3,1,1,15.585519
medium_n20_s2_a3_case3_seed45,20,57,102,dijkstra,0.006282,20,1,1,15.585519
medium_n20_s2_a3_case4_seed46,20,57,102,vi,0.006192,5,1,1,20.363531
medium_n20_s2_a3_case4_seed46,20,57,102,pi,0.026750,4,1,1,20.363531
medium_n20_s2_a3_case4_seed46,20,57,102,dijkstra,0.006583,20,1,1,20.363531
medium_n20_s2_a3_case5_seed47,20,57,102,vi,0.008947,5,1,1,17.210369
medium_n20_s2_a3_case5_seed47,20,57,102,pi,0.022081,4,1,1,17.210369
medium_n20_s2_a3_case5_seed47,20,57,102,dijkstra,0.006101,20,1,1,17.210369
medium_n20_s2_a3_case6_seed48,20,57,102,vi,0.005751,4,1,1,14.054578
medium_n20_s2_a3_case6_seed48,20,57,102,pi,0.016611,3,1,1,14.054578
medium_n20_s2_a3_case6_seed48,20,57,102,dijkstra,0.006553,20,1,1,14.054578
medium_n20_s2_a3_case7_seed49,20,57,102,vi,0.005531,4,1,1,17.589903
medium_n20_s2_a3_case7_seed49,20,57,102,pi,0.020859,4,1,1,17.589903
medium_n20_s2_a3_case7_seed49,20,57,102,dijkstra,0.005560,20,1,1,17.589903
medium_n20_s2_a3_case8_seed50,20,57,102,vi,0.006051,5,1,1,20.087745
medium_n20_s2_a3_case8_seed50,20,57,102,pi,0.016261,3,1,1,20.087745
medium_n20_s2_a3_case8_seed50,20,57,102,dijkstra,0.006242,20,1,1,20.087745
medium_n20_s2_a3_case9_seed51,20,57,102,vi,0.006582,5,1,1,14.947328
medium_n20_s2_a3_case9_seed51,20,57,102,pi,0.021831,4,1,1,14.947328
medium_n20_s2_a3_case9_seed51,20,57,102,dijkstra,0.005831,20,1,1,14.947328
medium_n50_s2_a3_case0_seed42,50,147,282,vi,0.017824,7,1,1,23.214331
medium_n50_s2_a3_case0_seed42,50,147,282,pi,0.095350,5,1,1,23.214331
medium_n50_s2_a3_case0_seed42,50,147,282,dijkstra,0.024506,50,1,1,23.214331
medium_n50_s2_a3_case10_seed52,50,147,282,vi,0.018305,7,1,1,25.436625
medium_n50_s2_a3_case10_seed52,50,147,282,pi,0.087926,5,1,1,25.436625
medium_n50_s2_a3_case10_seed52,50,147,282,dijkstra,0.024467,50,1,1,25.436625
medium_n50_s2_a3_case11_seed53,50,147,282,vi,0.017624,7,1,1,29.452146
medium_n50_s2_a3_case11_seed53,50,147,282,pi,0.086312,5,1,1,29.452146
medium_n50_s2_a3_case11_seed53,50,147,282,dijkstra,0.025368,50,1,1,29.452146
medium_n50_s2_a3_case12_seed54,50,147,282,vi,0.018505,8,1,1,24.889907
medium_n50_s2_a3_case12_seed54,50,147,282,pi,0.068860,4,1,1,24.889907
medium_n50_s2_a3_case12_seed54,50,147,282,dijkstra,0.023685,50,1,1,24.889907
medium_n50_s2_a3_case13_seed55,50,147,282,vi,0.018254,7,1,1,26.528415
